stringId_A,stringId_B,combined_score
ENSP00000312262,ENSP00000403701,0.9066844000000001
ENSP00000313110,ENSP00000403701,0.7109028
ENSP00000313110,ENSP00000409581,0.7109028
ENSP00000313803,ENSP00000403701,0.7087174
ENSP00000313803,ENSP00000409581,0.7087174
ENSP00000315299,ENSP00000384264,0.9
ENSP00000315299,ENSP00000328478,0.9
ENSP00000315299,ENSP00000419081,0.9
ENSP00000315299,ENSP00000369689,0.9162
ENSP00000315299,ENSP00000369268,0.9
ENSP00000315299,ENSP00000410309,0.9092
ENSP00000315299,ENSP00000379496,0.9084
ENSP00000315299,ENSP00000363435,0.9105
ENSP00000315299,ENSP00000379098,0.947608
ENSP00000316244,ENSP00000371594,0.714792
ENSP00000317578,ENSP00000409581,0.8291704
ENSP00000317578,ENSP00000403701,0.8246548
ENSP00000318834,ENSP00000403701,0.709654
ENSP00000318834,ENSP00000409581,0.709654
ENSP00000318956,ENSP00000409581,0.7121516
ENSP00000318956,ENSP00000403701,0.7121516
ENSP00000319060,ENSP00000379098,0.94385496
ENSP00000319546,ENSP00000409581,0.7046588
ENSP00000319546,ENSP00000403701,0.7046588
ENSP00000320560,ENSP00000403701,0.704971
ENSP00000320560,ENSP00000409581,0.704971
ENSP00000320560,ENSP00000369157,0.987
ENSP00000321338,ENSP00000409581,0.7071564
ENSP00000321338,ENSP00000403701,0.7071564
ENSP00000321447,ENSP00000409581,0.704971
ENSP00000321447,ENSP00000403701,0.704971
ENSP00000321506,ENSP00000403701,0.704971
ENSP00000321506,ENSP00000409581,0.704971
ENSP00000321729,ENSP00000409581,0.7040344000000001
ENSP00000321729,ENSP00000403701,0.7040344000000001
ENSP00000322088,ENSP00000403701,0.704971
ENSP00000322088,ENSP00000409581,0.704971
ENSP00000322617,ENSP00000347754,0.9329000000000001
ENSP00000322617,ENSP00000371929,0.9
ENSP00000322754,ENSP00000403701,0.7040344000000001
ENSP00000322754,ENSP00000409581,0.7040344000000001
ENSP00000322801,ENSP00000403701,0.706532
ENSP00000322801,ENSP00000409581,0.706532
ENSP00000325065,ENSP00000409581,0.7055954
ENSP00000325065,ENSP00000403701,0.7055954
ENSP00000325128,ENSP00000409581,0.7055954
ENSP00000325128,ENSP00000403701,0.7055954
ENSP00000325296,ENSP00000480090,0.986
ENSP00000326232,ENSP00000369568,0.764
ENSP00000326232,ENSP00000369559,0.999
ENSP00000326301,ENSP00000403701,0.704971
ENSP00000326301,ENSP00000409581,0.704971
ENSP00000326349,ENSP00000409581,0.704971
ENSP00000326349,ENSP00000403701,0.704971
ENSP00000328412,ENSP00000381339,0.803575
ENSP00000328412,ENSP00000334910,0.836515
ENSP00000328412,ENSP00000420295,0.9549902
ENSP00000328478,ENSP00000419081,0.9
ENSP00000328478,ENSP00000369689,0.9
ENSP00000328478,ENSP00000369268,0.9
ENSP00000328878,ENSP00000409581,0.704971
ENSP00000328878,ENSP00000403701,0.704971
ENSP00000329926,ENSP00000386306,0.9055
ENSP00000329982,ENSP00000409316,0.999
ENSP00000330049,ENSP00000409581,0.704971
ENSP00000330049,ENSP00000403701,0.704971
ENSP00000330338,ENSP00000409581,0.7084052000000001
ENSP00000330338,ENSP00000403701,0.7084052000000001
ENSP00000331545,ENSP00000403701,0.701849
ENSP00000331867,ENSP00000381339,0.9046000000000001
ENSP00000331867,ENSP00000344411,0.9292
ENSP00000334051,ENSP00000371594,0.94402
ENSP00000334115,ENSP00000403701,0.7030978000000001
ENSP00000334115,ENSP00000409581,0.7030978000000001
ENSP00000334418,ENSP00000409581,0.7071564
ENSP00000334418,ENSP00000403701,0.7071564
ENSP00000334441,ENSP00000403701,0.7030978000000001
ENSP00000334441,ENSP00000409581,0.7030978000000001
ENSP00000334452,ENSP00000403701,0.704971
ENSP00000334452,ENSP00000409581,0.704971
ENSP00000334456,ENSP00000409581,0.7074686
ENSP00000334456,ENSP00000403701,0.7074686
ENSP00000334876,ENSP00000403701,0.819887
ENSP00000334876,ENSP00000409581,0.819887
ENSP00000335025,ENSP00000403701,0.7074686
ENSP00000335025,ENSP00000409581,0.7074686
ENSP00000335575,ENSP00000343521,0.785
ENSP00000338185,ENSP00000381339,0.9151903
ENSP00000338185,ENSP00000379098,0.9089
ENSP00000338185,ENSP00000363092,0.906
ENSP00000338185,ENSP00000363435,0.9139746
ENSP00000339726,ENSP00000371594,0.7166399999999999
ENSP00000340748,ENSP00000403701,0.704971
ENSP00000340748,ENSP00000409581,0.704971
ENSP00000344411,ENSP00000381339,0.9046000000000001
ENSP00000344411,ENSP00000364520,0.9292
ENSP00000345751,ENSP00000353292,0.9975785
ENSP00000347003,ENSP00000373194,0.78
ENSP00000347754,ENSP00000406050,0.9359195
ENSP00000347754,ENSP00000371929,0.9329000000000001
ENSP00000352626,ENSP00000403701,0.7146492
ENSP00000352626,ENSP00000409581,0.7146492
ENSP00000357134,ENSP00000409581,0.7030978000000001
ENSP00000357134,ENSP00000403701,0.7030978000000001
ENSP00000359719,ENSP00000370669,0.9073
ENSP00000359719,ENSP00000384763,0.9064
ENSP00000359719,ENSP00000363435,0.9045000000000001
ENSP00000359719,ENSP00000366488,0.9696
ENSP00000363092,ENSP00000370669,0.9088
ENSP00000363092,ENSP00000367762,0.9083
ENSP00000363092,ENSP00000443631,0.9
ENSP00000363092,ENSP00000384763,0.9114
ENSP00000363435,ENSP00000367762,0.9135541
ENSP00000363435,ENSP00000443631,0.9162971
ENSP00000363435,ENSP00000366488,0.9045000000000001
ENSP00000363435,ENSP00000419081,0.9045000000000001
ENSP00000363435,ENSP00000369689,0.9069
ENSP00000364164,ENSP00000409581,0.7062198
ENSP00000364164,ENSP00000403701,0.7062198
ENSP00000364520,ENSP00000381339,0.9088
ENSP00000366378,ENSP00000409581,0.704971
ENSP00000366378,ENSP00000403701,0.704971
ENSP00000366488,ENSP00000370669,0.9057000000000001
ENSP00000366488,ENSP00000384763,0.9057000000000001
ENSP00000367664,ENSP00000409581,0.7055954
ENSP00000367664,ENSP00000403701,0.7055954
ENSP00000367762,ENSP00000381339,0.9151903
ENSP00000367762,ENSP00000379098,0.9086000000000001
ENSP00000369268,ENSP00000419081,0.9
ENSP00000369268,ENSP00000369689,0.9
ENSP00000369559,ENSP00000403701,0.7040344000000001
ENSP00000369559,ENSP00000409581,0.7040344000000001
ENSP00000369559,ENSP00000369568,0.788
ENSP00000369568,ENSP00000403701,0.7040344000000001
ENSP00000369568,ENSP00000409581,0.7040344000000001
ENSP00000369573,ENSP00000403701,0.7040344000000001
ENSP00000369573,ENSP00000409581,0.7040344000000001
ENSP00000369689,ENSP00000384264,0.9044
ENSP00000369689,ENSP00000419081,0.9
ENSP00000369689,ENSP00000410309,0.9092
ENSP00000369689,ENSP00000379496,0.9084
ENSP00000369689,ENSP00000379098,0.947608
ENSP00000369728,ENSP00000409581,0.704971
ENSP00000369728,ENSP00000403701,0.704971
ENSP00000369729,ENSP00000409581,0.7040344000000001
ENSP00000369729,ENSP00000403701,0.7040344000000001
ENSP00000370669,ENSP00000384763,0.9045000000000001
ENSP00000379098,ENSP00000443631,0.9068
ENSP00000379098,ENSP00000419081,0.9254
ENSP00000379496,ENSP00000381339,0.9
ENSP00000379496,ENSP00000410309,0.9622216
ENSP00000379496,ENSP00000419081,0.9065
ENSP00000380153,ENSP00000409581,0.7040344000000001
ENSP00000380153,ENSP00000403701,0.7040344000000001
ENSP00000380155,ENSP00000409581,0.7040344000000001
ENSP00000380155,ENSP00000403701,0.7040344000000001
ENSP00000381339,ENSP00000443631,0.9151903
ENSP00000381339,ENSP00000410309,0.9
ENSP00000384264,ENSP00000419081,0.9
ENSP00000386180,ENSP00000403701,0.7087174
ENSP00000386180,ENSP00000409581,0.7087174
ENSP00000386209,ENSP00000403701,0.7046588
ENSP00000386209,ENSP00000409581,0.7046588
ENSP00000389072,ENSP00000403701,0.7062198
ENSP00000389072,ENSP00000409581,0.7062198
ENSP00000403701,ENSP00000480583,0.704971
ENSP00000403701,ENSP00000444054,0.704971
ENSP00000403701,ENSP00000412752,0.7055954
ENSP00000403701,ENSP00000477014,0.704971
ENSP00000403701,ENSP00000431914,0.7062198
ENSP00000403701,ENSP00000477445,0.7062198
ENSP00000403701,ENSP00000445383,0.7062198
ENSP00000403701,ENSP00000437629,0.7109028
ENSP00000403701,ENSP00000409581,0.9801148
ENSP00000409581,ENSP00000412752,0.7055954
ENSP00000409581,ENSP00000444054,0.704971
ENSP00000409581,ENSP00000477014,0.704971
ENSP00000409581,ENSP00000480583,0.704971
ENSP00000409581,ENSP00000445383,0.7062198
ENSP00000409581,ENSP00000477445,0.7062198
ENSP00000409581,ENSP00000431914,0.7062198
ENSP00000409581,ENSP00000437629,0.7109028
ENSP00000410309,ENSP00000419081,0.9065
